Group_id,Time (ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,1713344197144,2.36,-0.11,10.63,0.22,0.04,-0.17
0,1713344197328,-0.85,-0.10,10.72,0.22,0.02,-0.14
0,1713344197429,-0.99,1.44,10.72,0.22,0.01,-0.21
0,1713344197532,0.17,0.03,10.51,0.19,0.02,0.31
0,1713344197634,-0.22,-0.90,10.42,0.21,0.02,0.02
0,1713344197775,-0.20,-0.52,10.72,0.20,0.01,-0.01
0,1713344197987,-0.64,0.29,10.71,0.21,0.01,-0.01
0,1713344198454,-1.15,-0.08,10.63,0.21,0.04,0.02
0,1713344198556,-0.96,-0.20,10.81,0.20,0.01,-0.02
0,1713344198657,-2.34,0.08,10.56,0.20,0.03,0.00
0,1713344198759,0.27,0.04,10.78,0.20,-0.02,0.04
0,1713344198861,0.05,0.07,10.60,0.20,-0.00,0.07
0,1713344198963,0.58,-0.20,10.62,0.20,-0.00,0.03
0,1713344199065,0.37,-0.08,10.74,0.21,-0.01,-0.03
0,1713344199167,1.04,-0.28,10.70,0.22,-0.01,-0.17
0,1713344199268,-1.25,-0.28,10.72,0.23,0.00,-0.18
0,1713344199371,-1.03,-0.01,10.57,0.21,0.04,-0.06
0,1713344199472,-0.91,-0.16,10.68,0.21,0.03,-0.05
0,1713344199574,-0.89,-0.05,10.71,0.21,0.02,-0.03
0,1713344199675,0.13,-0.73,10.98,0.21,0.31,-0.02
0,1713344199784,-0.53,-0.13,10.82,0.21,0.03,-0.05
0,1713344200991,-0.23,-1.15,10.81,0.23,0.01,-0.38
0,1713344201093,-0.81,0.79,10.63,0.25,0.01,-0.50
0,1713344201195,-1.72,-0.30,10.61,0.25,0.00,-0.46
0,1713344201296,-1.13,0.01,10.63,0.24,0.03,-0.38
0,1713344201398,-0.81,-0.03,10.72,0.23,0.01,-0.25
0,1713344201499,0.62,-0.18,10.81,0.21,0.01,-0.05
0,1713344201602,1.12,-0.17,10.85,0.21,0.01,0.03
0,1713344201703,-0.14,-0.42,10.47,0.21,0.02,-0.06
0,1713344201805,-1.47,-0.06,10.51,0.22,0.01,-0.09
0,1713344201906,-1.65,-0.01,10.76,0.21,0.02,-0.02
0,1713344202009,-1.27,-0.05,10.64,0.21,0.02,-0.03
0,1713344202111,-0.93,1.39,10.78,0.21,0.01,-0.07
0,1713344202212,-0.49,-0.20,10.55,0.20,0.02,0.11
0,1713344202314,0.02,0.39,10.76,0.20,0.01,0.14
0,1713344202415,-0.29,-0.72,10.63,0.18,0.01,0.31
0,1713344202518,-0.47,-0.11,10.68,0.19,0.01,0.28
0,1713344202620,0.12,-1.25,10.67,0.20,0.02,0.26
0,1713344202722,-0.62,0.10,10.81,0.20,0.01,0.08
0,1713344202824,-0.65,-0.93,10.73,0.20,0.01,0.14
0,1713344202926,-0.38,-0.85,10.79,0.20,0.02,0.13
0,1713344203026,-0.41,-0.64,10.72,0.20,0.01,0.07
0,1713344203129,-0.37,-0.97,10.68,0.20,0.02,0.05
0,1713344203231,-0.70,-1.70,10.56,0.21,0.01,0.01
0,1713344203333,-0.01,-1.48,10.90,0.21,0.02,-0.13
0,1713344203435,-0.98,-0.68,11.04,0.23,0.01,-0.25
0,1713344203537,-0.45,0.31,10.62,0.22,0.04,-0.26
0,1713344203637,-0.68,0.18,10.29,0.22,0.02,-0.22
0,1713344203740,-0.54,-0.23,10.69,0.22,0.01,-0.21
0,1713344203842,-0.80,0.57,10.33,0.22,0.02,-0.19
0,1713344203944,-0.93,0.90,10.60,0.21,0.01,-0.11
0,1713344204045,-0.22,1.20,10.65,0.21,0.03,-0.14
0,1713344204147,-0.81,1.55,10.67,0.21,0.01,-0.15
0,1713344204248,-0.55,0.00,10.72,0.21,0.01,-0.01
0,1713344204351,-1.18,2.11,10.63,0.19,0.02,0.14
0,1713344204452,0.52,-1.13,10.41,0.18,0.01,0.38
0,1713344204554,-1.07,-0.20,11.50,0.19,0.01,0.26
0,1713344204656,-0.49,-0.24,10.83,0.19,0.01,0.32
0,1713344204758,-0.63,-0.88,10.59,0.18,0.02,0.32
0,1713344204860,0.12,-0.71,10.86,0.20,0.01,0.15
0,1713344204962,-0.51,-1.36,10.78,0.19,0.02,0.22
0,1713344205064,-0.23,-0.53,10.90,0.20,0.00,0.18
0,1713344205164,0.15,-0.77,10.61,0.20,0.01,0.12
0,1713344205266,-0.57,-2.07,10.62,0.23,0.02,-0.30
1,1713344205368,-0.12,-0.59,10.78,0.23,0.01,-0.33
1,1713344205470,-0.36,-0.83,10.67,0.22,0.03,-0.31
1,1713344205572,-0.10,-0.74,10.05,0.23,0.04,-0.49
1,1713344205673,-1.15,-0.06,11.64,0.24,-0.01,-0.43
1,1713344205775,0.63,-0.73,10.17,0.24,0.04,-0.49
1,1713344205877,-0.50,-0.14,10.33,0.24,0.01,-0.39
1,1713344205979,-0.75,-0.32,10.90,0.24,0.02,-0.29
1,1713344206081,-0.88,-0.60,10.70,0.24,0.02,-0.28
1,1713344206182,-0.51,-1.54,10.58,0.24,0.01,-0.36
1,1713344206285,-0.48,-0.81,10.67,0.24,0.01,-0.28
1,1713344206386,-0.42,-1.33,10.82,0.24,0.02,-0.24
1,1713344206488,-0.41,-0.83,10.67,0.24,0.02,-0.20
1,1713344206589,-0.16,-0.95,10.82,0.24,0.01,-0.18
1,1713344206691,-0.37,-1.40,10.79,0.24,0.01,-0.12
1,1713344206793,-0.05,-1.10,10.78,0.24,0.01,-0.11
1,1713344206895,-0.12,-0.46,10.81,0.24,0.01,-0.08
1,1713344206997,-0.61,-0.86,10.82,0.24,0.01,-0.09
1,1713344207098,-0.10,-1.02,10.78,0.24,0.02,-0.06
1,1713344207200,-0.31,-1.27,10.79,0.24,0.02,-0.02
1,1713344207301,-0.27,-1.31,10.81,0.24,0.02,0.01
1,1713344207404,-0.19,-0.72,10.79,0.24,0.02,0.02
1,1713344207506,-0.18,-0.79,10.78,0.24,0.02,0.04
1,1713344207608,-0.02,-0.97,10.77,0.24,0.02,0.03
1,1713344207710,-0.41,-1.47,10.81,0.24,0.02,-0.01
1,1713344207811,-0.23,-1.03,10.81,0.24,0.01,-0.00
1,1713344207913,-0.26,-1.08,10.83,0.24,0.01,0.02
1,1713344208014,-0.19,-1.08,10.81,0.24,0.01,0.04
1,1713344205064,-0.23,-0.53,10.90,0.20,0.00,0.18
1,1713344205164,0.15,-0.77,10.61,0.20,0.01,0.12
1,1713344205266,-0.57,-2.07,10.62,0.23,0.02,-0.30
1,1713344205368,-0.12,-0.59,10.78,0.23,0.01,-0.33
1,1713344205470,-0.36,-0.83,10.67,0.22,0.03,-0.31
1,1713344205572,-0.10,-0.74,10.05,0.23,0.04,-0.49
1,1713344205673,-1.15,-0.06,11.64,0.24,-0.01,-0.43
1,1713344205775,0.63,-0.73,10.17,0.24,0.04,-0.49
1,1713344205877,-0.50,-0.14,10.33,0.24,0.01,-0.39
1,1713344205979,-0.75,-0.32,10.90,0.24,0.02,-0.29
1,1713344206081,-0.88,-0.60,10.70,0.24,0.02,-0.28
1,1713344206182,-0.51,-1.54,10.58,0.24,0.01,-0.36
1,1713344206285,-0.48,-0.81,10.67,0.24,0.01,-0.28
1,1713344206386,-0.42,-1.33,10.82,0.24,0.02,-0.24
1,1713344206488,-0.41,-0.83,10.67,0.24,0.02,-0.20
1,1713344206589,-0.16,-0.95,10.82,0.24,0.01,-0.18
1,1713344206691,-0.37,-1.40,10.79,0.24,0.01,-0.12
1,1713344206793,-0.05,-1.10,10.78,0.24,0.01,-0.11
1,1713344206895,-0.12,-0.46,10.81,0.24,0.01,-0.08
1,1713344206997,-0.61,-0.86,10.82,0.24,0.01,-0.09
1,1713344207098,-0.10,-1.02,10.78,0.24,0.02,-0.06
1,1713344207200,-0.31,-1.27,10.79,0.24,0.02,-0.02
1,1713344207301,-0.27,-1.31,10.81,0.24,0.02,0.01
1,1713344207404,-0.19,-0.72,10.79,0.24,0.02,0.02
1,1713344207506,-0.18,-0.79,10.78,0.24,0.02,0.04
1,1713344207608,-0.02,-0.97,10.77,0.24,0.02,0.03
1,1713344207710,-0.41,-1.47,10.81,0.24,0.02,-0.01
1,1713344207811,-0.23,-1.03,10.81,0.24,0.01,-0.00
1,1713344207913,-0.26,-1.08,10.83,0.24,0.01,0.02
1,1713344208014,-0.19,-1.08,10.81,0.24,0.01,0.04
1,1713344204248,-0.55,0.00,10.72,0.21,0.01,-0.01
1,1713344204351,-1.18,2.11,10.63,0.19,0.02,0.14
1,1713344204452,0.52,-1.13,10.41,0.18,0.01,0.38
1,1713344204554,-1.07,-0.20,11.50,0.19,0.01,0.26
1,1713344204656,-0.49,-0.24,10.83,0.19,0.01,0.32
1,1713344204758,-0.63,-0.88,10.59,0.18,0.02,0.32
1,1713344204860,0.12,-0.71,10.86,0.20,0.01,0.15
